Input Size,Time taken(s),#Comparisions
100000,10.046875,4999950000
150000,22.625000,11249925000
200000,39.609375,19999900000
250000,62.015625,31249875000
300000,91.390625,44999850000
350000,121.250000,61249825000
400000,159.875000,79999800000
450000,200.953125,101249775000
500000,248.921875,124999750000
550000,299.515625,151249725000
600000,359.515625,179999700000
650000,428.671875,211249675000
700000,496.421875,244999650000
750000,557.515625,281249625000
800000,638.718750,319999600000
850000,720.312500,361249575000
900000,804.890625,404999550000
950000,902.046875,451249525000
1000000,995.843750,499999500000
